Year,SERIES,UNIT_MEASURE,Врста производа,Value
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Сточна храна и крмно биље,0.08746
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Сточна храна и крмно биље,0.08062
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.1868
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.15567
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.14511
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.13795
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.15796
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.11771
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Металне руде,0.11627
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.06108
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.05685
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.05494
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.06221
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.08037
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.04419
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Руде обојених метала,0.04395
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.05295
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.06017
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.06148
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.06091
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.06143
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.05542
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантни у индустрији или пољопривреди,0.05019
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.53357
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.59961
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.47341
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.45577
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.50012
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.5736
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали - доминантна градња,0.58556
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.60722
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.68162
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.55211
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.52796
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.54985
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.61845
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Неметални минерали,0.60936
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Уљни шкриљци и катрански пиjесак,0.0
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.10725
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.11537
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.10927
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.10026
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.09008
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.08802
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Нафта,0.0888
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00054
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00059
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00053
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00055
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00065
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00051
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дивљи улов и жетва,0.00046
2015,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.11213
2016,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.10913
2017,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.09603
2018,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.10592
2019,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.11463
2020,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.11783
2021,"Потрошња домаћих материјала, по јединици БДП-а, према врсти сировине (килограми по константи 2015 америчких долара)",Килограми по константи америчког долара,Дрво,0.09722
2015,Потрошња домаћих материјала,Тоне,Без подјеле,36234980.0
2016,Потрошња домаћих материјала,Тоне,Без подјеле,40160274.0
2017,Потрошња домаћих материјала,Тоне,Без подјеле,37266027.0
2018,Потрошња домаћих материјала,Тоне,Без подјеле,39227316.0
2019,Потрошња домаћих материјала,Тоне,Без подјеле,39279289.0
2020,Потрошња домаћих материјала,Тоне,Без подјеле,39605525.0
2021,Потрошња домаћих материјала,Тоне,Без подјеле,38177091.0
2015,Потрошња домаћих материјала,Тоне,Биомаса,8762125.0
2016,Потрошња домаћих материјала,Тоне,Биомаса,10105493.0
2017,Потрошња домаћих материјала,Тоне,Биомаса,8586029.0
2018,Потрошња домаћих материјала,Тоне,Биомаса,10325319.0
2019,Потрошња домаћих материјала,Тоне,Биомаса,10285656.0
2020,Потрошња домаћих материјала,Тоне,Биомаса,10577745.0
2021,Потрошња домаћих материјала,Тоне,Биомаса,8866925.0
2015,Потрошња домаћих материјала,Тоне,Фосилна горива,14810639.0
2016,Потрошња домаћих материјала,Тоне,Фосилна горива,16426875.0
2017,Потрошња домаћих материјала,Тоне,Фосилна горива,17114446.0
2018,Потрошња домаћих материјала,Тоне,Фосилна горива,17442547.0
2019,Потрошња домаћих материјала,Тоне,Фосилна горива,16400470.0
2020,Потрошња домаћих материјала,Тоне,Фосилна горива,16222610.0
2021,Потрошња домаћих материјала,Тоне,Фосилна горива,15789864.0
2015,Потрошња домаћих материјала,Тоне,Металне руде,3064341.0
2016,Потрошња домаћих материјала,Тоне,Металне руде,2636392.0
2017,Потрошња домаћих материјала,Тоне,Металне руде,2537296.0
2018,Потрошња домаћих материјала,Тоне,Металне руде,2504448.0
2019,Потрошња домаћих материјала,Тоне,Металне руде,2950555.0
2020,Потрошња домаћих материјала,Тоне,Металне руде,2132375.0
2021,Потрошња домаћих материјала,Тоне,Металне руде,2261955.0
2015,Потрошња домаћих материјала,Тоне,Неметални минерали,9961015.0
2016,Потрошња домаћих материјала,Тоне,Неметални минерали,11544016.0
2017,Потрошња домаћих материјала,Тоне,Неметални минерали,9653949.0
2018,Потрошња домаћих материјала,Тоне,Неметални минерали,9585274.0
2019,Потрошња домаћих материјала,Тоне,Неметални минерали,10270696.0
2020,Потрошња домаћих материјала,Тоне,Неметални минерали,11203837.0
2021,Потрошња домаћих материјала,Тоне,Неметални минерали,11855036.0
2015,Потрошња домаћих материјала,Тоне,Угаљ,13151192.0
2016,Потрошња домаћих материјала,Тоне,Угаљ,14619987.0
2017,Потрошња домаћих материјала,Тоне,Угаљ,15318026.0
2018,Потрошња домаћих материјала,Тоне,Угаљ,15906885.0
2019,Потрошња домаћих материјала,Тоне,Угаљ,14879107.0
2020,Потрошња домаћих материјала,Тоне,Угаљ,14719438.0
2021,Потрошња домаћих материјала,Тоне,Угаљ,14240530.0
2015,Потрошња домаћих материјала,Тоне,Остаци усјева,1127903.0
2016,Потрошња домаћих материјала,Тоне,Остаци усјева,1654919.0
