Year,SERIES,Биоклиматски појас,Покривеност земљишта,UNIT_MEASURE,Value
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,"Грмље и/или зељаста вегетација, водена или редовно плављена подручја",Квадратних километара,22.6
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Унутрашње водене површине,Квадратних километара,165.4
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Унутрашње водене површине,Квадратних километара,160.19
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Унутрашње водене површине,Квадратних километара,162.5
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Унутрашње водене површине,Квадратних километара,164.3
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Унутрашње водене површине,Квадратних километара,164.5
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Унутрашње водене површине,Квадратних километара,164.6
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Индекс зеленог покривача планине(MGCI),Квадратних километара,32945.19
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Индекс зеленог покривача планине(MGCI),Квадратних километара,33173.0
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Индекс зеленог покривача планине(MGCI),Квадратних километара,33757.69
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Индекс зеленог покривача планине(MGCI),Квадратних километара,34002.9
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Индекс зеленог покривача планине(MGCI),Квадратних километара,33978.4
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Индекс зеленог покривача планине(MGCI),Квадратних километара,33954.0
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине прекривене жбуњем,Квадратних километара,711.6
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине прекривене жбуњем,Квадратних километара,803.8
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине прекривене жбуњем,Квадратних километара,1561.7
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине прекривене жбуњем,Квадратних километара,1930.8
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине прекривене жбуњем,Квадратних километара,1930.0
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине прекривене жбуњем,Квадратних километара,1929.3
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине са ријетком вегетацијом,Квадратних километара,540.1
2005,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине са ријетком вегетацијом,Квадратних километара,573.9
2010,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине са ријетком вегетацијом,Квадратних километара,729.0
2015,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине са ријетком вегетацијом,Квадратних километара,808.8
2018,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине са ријетком вегетацијом,Квадратних километара,814.5
2021,Индекс планинског зеленог покривача (квадратних километара),Планински,Површине са ријетком вегетацијом,Квадратних километара,820.1
2000,Индекс планинског зеленог покривача (квадратних километара),Планински,Неплодна земља,Квадратних километара,56.5
